"Thanks for contacting us with your comments and questions. We\'ll respond to you very soon.","Thanks for contacting us with your comments and questions. We\'ll respond to you very soon."
"We can\'t process your request right now. Sorry, that\'s all we know.","We can\'t process your request right now. Sorry, that\'s all we know."
"Thanks for contacting us. We\'ll call  you very soon.","Thanks for contacting us. We\'ll call  you very soon."
"'We can\'t process your request right now. Sorry, that\'s all we know.' .","'We can\'t process your request right now. Sorry, that\'s all we know.' ."
"Thanks for contacting us with your comments and questions. We\'ll call  you very soon.","Thanks for contacting us with your comments and questions. We\'ll call  you very soon."
Name:,Name:
Phone:,Phone:
Product:,Product:
Email:,Email:
Message:,Message:
