"New Post","New Post"
"Configuration Information","Configuration Information"
Save,Save
"Gift Images Information","Gift Images Information"
Gifts,Gifts
"Manage Gifts Configuration","Manage Gifts Configuration"
"This post no longer exists.","This post no longer exists."
"Edit Gifts Configuration","Edit Gifts Configuration"
"New Gifts Configuration","New Gifts Configuration"
"Gifts Configuration","Gifts Configuration"
"Gifts Advisor","Gifts Advisor"
"Gifts Attribute Configuration","Gifts Attribute Configuration"
"Gifts Advisor - Attribute Configuration","Gifts Advisor - Attribute Configuration"
"Manage Gifts Attribute Images","Manage Gifts Attribute Images"
"Edit Gifts Attribute Images","Edit Gifts Attribute Images"
"New Gifts Attribute Images","New Gifts Attribute Images"
"Gifts Images","Gifts Images"
"Gifts Advisor Images","Gifts Advisor Images"
"Gifts Attribute Images","Gifts Attribute Images"
"Gifts Advisor - Attribute Images","Gifts Advisor - Attribute Images"
Enabled,Enabled
Disabled,Disabled
Edit,Edit
"Product Filter","Product Filter"
"GIFT FILTER","GIFT FILTER"
"For Whom","For Whom"
Choose,Choose
"GIFT IDEAS","GIFT IDEAS"
"Search gifts","Search gifts"
"Show Filter","Show Filter"
"Hide Filter","Hide Filter"
"DO YOU WANT TO USE THE GIFT ADVISOR?","DO YOU WANT TO USE THE GIFT ADVISOR?"
"Yes, I want to use","Yes, I want to use"
or,or
"skip this step","skip this step"
"No available options for this attribute.","No available options for this attribute."
"You can go back or choose ""view all gifts""","You can go back or choose ""view all gifts"""
"select all","select all"
"Category Name","Category Name"
"Attribute Name","Attribute Name"
